StockCode,Description,QuantitySold,Revenue,AvgPrice,Orders,InventoryStatus,Recommendation
16010,FOLDING CAMPING SCISSOR W/KNIF & S,14,1.68,0.12,2,Slow Moving,Reduce Inventory
16011, ANIMAL STICKERS,385,80.85,0.21,12,Normal,Monitor Stock
16011,ANIMAL STICKERS,1748,365.88,0.20912280701754385,56,Fast Moving,Restock Immediately
16012,FOOD/DRINK SPONGE STICKERS,946,198.66,0.21,28,Normal,Monitor Stock
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,0.20749999999999996,20,Normal,Monitor Stock
16014,SMALL CHINESE STYLE SCISSOR,17041,5503.22,0.3866666666666666,42,Fast Moving,Restock Immediately
16015,MEDIUM CHINESE STYLE SCISSOR,911,421.9,0.4866666666666667,42,Normal,Monitor Stock
16016,LARGE CHINESE STYLE SCISSOR,1058,831.7,0.8322727272727272,44,Fast Moving,Restock Immediately
16020C,CLEAR STATIONERY BOX SET ,76,64.6,0.85,22,Slow Moving,Reduce Inventory
16033,MINI HIGHLIGHTER PENS,14161,1429.32,0.11599999999999999,45,Fast Moving,Restock Immediately
16043,POP ART PUSH DOWN RUBBER ,2044,167.28,0.348,10,Fast Moving,Restock Immediately
16044,POP-ART FLUORESCENT PENS,6192,388.8,0.24,2,Fast Moving,Restock Immediately
16045,POPART WOODEN PENCILS ASST,400,48.0,0.12,4,Normal,Monitor Stock
16046,TEATIME PEN CASE & PENS,9887,990.8299999999999,0.7155555555555555,33,Fast Moving,Restock Immediately
16047,POP ART PEN CASE & PENS,10589,1017.2900000000001,0.7858333333333333,23,Fast Moving,Restock Immediately
16048,TEATIME ROUND PENCIL SHARPENER ,1977,311.94,0.3245454545454545,22,Fast Moving,Restock Immediately
16049,TEATIME GEL PENS ASST,2640,460.8,0.28500000000000003,20,Fast Moving,Restock Immediately
16050,TEATIME PENCIL WITH RUBBER,122,30.5,0.25,4,Normal,Monitor Stock
16051,TEATIME PENCIL W STAMP ASST,938,82.2,0.3,3,Normal,Monitor Stock
16052,TEATIME PUSH DOWN RUBBER,343,144.06,0.42,15,Normal,Monitor Stock
16053,POPART COL BALLPOINT PEN ASST,4298,182.58,0.16499999999999998,8,Fast Moving,Restock Immediately
16054,POPART RECT PENCIL SHARPENER ASST,39,16.38,0.42,4,Slow Moving,Reduce Inventory
16119,FUNKY GIRL ADDRESS BOOK,271,128.21,1.0014285714285713,7,Normal,Monitor Stock
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,3.75,2,Slow Moving,Reduce Inventory
16156L,"WRAP, CAROUSEL",475,199.5,0.42,18,Normal,Monitor Stock
16156N,"WRAP, FRIENDSHIP ON GREEN",1450,609.0,0.42,55,Fast Moving,Restock Immediately
16156S,WRAP PINK FAIRY CAKES ,10886,4238.12,0.4143307086614173,254,Fast Moving,Restock Immediately
16161C,WRAP SPEED DEMONS ,450,45.0,0.1,2,Normal,Monitor Stock
16161E,WRAP BOUDOIR ,750,75.0,0.1,9,Normal,Monitor Stock
16161G,WRAP BAD HAIR DAY,275,27.5,0.1,11,Normal,Monitor Stock
16161M,WRAP  PINK FLOCK,1050,439.0,0.41794871794871796,39,Fast Moving,Restock Immediately
16161P,WRAP ENGLISH ROSE ,6072,2486.48,0.41835897435897434,193,Fast Moving,Restock Immediately
16161U,WRAP SUKI AND FRIENDS,2651,1055.42,0.4168421052631579,76,Fast Moving,Restock Immediately
16161U,"WRAP,SUKI AND FRIENDS",3325,1352.5,0.41706422018348627,109,Fast Moving,Restock Immediately
16162L,THE KING GIFT BAG,8066,542.74,0.44636363636363635,11,Fast Moving,Restock Immediately
16162M,THE KING GIFT BAG 25x24x12cm,60,25.2,0.42000000000000004,5,Slow Moving,Reduce Inventory
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1273,297.06,0.3729411764705882,34,Fast Moving,Restock Immediately
16168S,FUNKY MONKEY GIFT BAG SMALL,1274,121.86,0.1757142857142857,7,Fast Moving,Restock Immediately
16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,0.42,1,Slow Moving,Reduce Inventory
16169C,WRAP BLUE REINDEER,1350,567.0,0.42,43,Fast Moving,Restock Immediately
16169D,WRAP WINTER FOREST,250,105.0,0.42,9,Normal,Monitor Stock
16169F,WRAP BLIZZARD,975,409.5,0.42,34,Normal,Monitor Stock
16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,0.42,1,Slow Moving,Reduce Inventory
16169K,WRAP FOLK ART,1875,574.75,0.35365384615384615,52,Fast Moving,Restock Immediately
16169M,WRAP DAISY CARPET ,1400,363.75,0.305,34,Fast Moving,Restock Immediately
16169N,WRAP BLUE RUSSIAN FOLKART,2025,626.25,0.3501785714285714,56,Fast Moving,Restock Immediately
16169P,WRAP GREEN RUSSIAN FOLKART ,1700,512.75,0.355,46,Fast Moving,Restock Immediately
16201A,PASTEL PINK PHOTO ALBUM,100,199.8,2.55,8,Slow Moving,Reduce Inventory
16201B,PASTEL BLUE PHOTO ALBUM,24,46.8,1.95,2,Slow Moving,Reduce Inventory
16202A,PASTEL PINK PHOTO ALBUM ,654,268.5,4.152222222222222,17,Normal,Monitor Stock
16202B,PASTEL BLUE PHOTO ALBUM ,1005,454.71,3.5275,16,Fast Moving,Restock Immediately
16202C,BEIGE PHOTO ALBUM,94,201.29999999999998,3.0300000000000002,10,Slow Moving,Reduce Inventory
16202E,BLACK PHOTO ALBUM ,66,143.1,3.3899999999999997,10,Slow Moving,Reduce Inventory
16206B,RED PURSE WITH PINK HEART,89,107.65,1.2285714285714284,14,Slow Moving,Reduce Inventory
16207A,PINK STRAWBERRY HANDBAG ,42,123.90000000000002,2.95,14,Slow Moving,Reduce Inventory
16207B,PINK HEART RED HANDBAG,207,304.65000000000003,2.4400000000000004,10,Normal,Monitor Stock
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,237.9,0.65,30,Normal,Monitor Stock
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,0.65,3,Slow Moving,Reduce Inventory
16216,LETTER SHAPE PENCIL SHARPENER,819,131.04000000000002,0.16,37,Normal,Monitor Stock
16218,CARTOON  PENCIL SHARPENERS,765,122.4,0.16,20,Normal,Monitor Stock
16219,HOUSE SHAPE PENCIL SHARPENER,291,61.11,0.21,19,Normal,Monitor Stock
16225,RATTLE SNAKE EGGS,661,483.05,1.1782051282051282,37,Normal,Monitor Stock
16235,RECYCLED PENCIL WITH RABBIT ERASER,2511,524.31,0.20942528735632182,82,Fast Moving,Restock Immediately
16236,KITTY PENCIL ERASERS,1129,237.09,0.21,70,Fast Moving,Restock Immediately
16237,SLEEPING CAT ERASERS,5656,1165.26,0.20921052631578949,189,Fast Moving,Restock Immediately
16238,PARTY TIME PENCIL ERASERS,1030,216.29999999999998,0.21,60,Fast Moving,Restock Immediately
16239,BALLERINA HEART DECORATION.,338,468.4,2.6884615384615387,13,Normal,Monitor Stock
16243B,BROWN COZY SQUARE PHOTO ALBUM,205,399.75,1.95,1,Normal,Monitor Stock
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,142,293.0,3.483333333333333,6,Normal,Monitor Stock
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,302,605.0,3.483333333333333,6,Normal,Monitor Stock
16245A,PINK MINI STATIONERY SET W CASE,11,13.75,1.25,7,Slow Moving,Reduce Inventory
16248B,BLUE HOLE PUNCH,69,86.25,1.25,5,Slow Moving,Reduce Inventory
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,881,230.45,0.7954545454545454,10,Normal,Monitor Stock
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,493,207.06,0.42000000000000004,20,Normal,Monitor Stock
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169,70.98,0.42000000000000004,10,Normal,Monitor Stock
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,595,196.54,0.39195121951219514,38,Normal,Monitor Stock
16258B,DAISY ERASERS IN BAG,1015,219.76,0.29733333333333334,13,Fast Moving,Restock Immediately
16259,PIECE OF CAMO STATIONERY SET,2093,439.53,0.21,24,Fast Moving,Restock Immediately
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1139,278.46999999999997,0.27909090909090906,22,Fast Moving,Restock Immediately
17003,BROCADE RING PURSE ,48166,8847.66,0.20364583333333333,188,Fast Moving,Restock Immediately
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,22,46.2,2.1,5,Slow Moving,Reduce Inventory
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,254,150.0,1.3166666666666667,6,Normal,Monitor Stock
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001,1.2,2,Slow Moving,Reduce Inventory
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,334,217.1,0.65,1,Normal,Monitor Stock
17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3,0.475,2,Normal,Monitor Stock
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001,0.65,1,Normal,Monitor Stock
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,300,253.0,1.6166666666666667,9,Normal,Monitor Stock
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,374,341.7,1.8699999999999999,10,Normal,Monitor Stock
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,162,168.29999999999998,2.125,12,Normal,Monitor Stock
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,415,405.45,2.2884615384615383,13,Normal,Monitor Stock
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,41,63.75,2.307142857142857,7,Slow Moving,Reduce Inventory
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,205,196.35,2.361111111111111,9,Normal,Monitor Stock
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,128,122.39999999999999,1.8699999999999999,5,Normal,Monitor Stock
17013B,ORIGAMI JASMINE INCENSE IN TUBE,255,217.6,0.845,2,Normal,Monitor Stock
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,0.42,2,Normal,Monitor Stock
17013D,ORIGAMI ROSE INCENSE IN TUBE,516,257.58,1.146,10,Normal,Monitor Stock
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,61,25.05,1.3125,4,Slow Moving,Reduce Inventory
17014A,ORIGAMI VANILLA INCENSE CONES,93,43.980000000000004,1.035,2,Slow Moving,Reduce Inventory
17014C,ORIGAMI LAVENDER INCENSE CONES,96,40.32,0.42,1,Slow Moving,Reduce Inventory
17014D,ORIGAMI ROSE INCENSE CONES,476,194.28,1.015,5,Normal,Monitor Stock
17014E,ORIGAMI OPIUM INCENSE CONES,93,33.3,1.3125,4,Slow Moving,Reduce Inventory
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61,23.699999999999996,1.3125,4,Slow Moving,Reduce Inventory
17021,NAMASTE SWAGAT INCENSE,2003,518.1,0.2959090909090909,30,Fast Moving,Restock Immediately
17027A,INCENSE BAZAAR CANNABIS,228,84.84,0.355,2,Normal,Monitor Stock
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3279,867.55,0.2852941176470588,68,Fast Moving,Restock Immediately
17038,PORCELAIN BUDAH INCENSE HOLDER,1123,94.30000000000001,0.08750000000000001,12,Fast Moving,Restock Immediately
17039,INLAID WOOD INCENSE HOLDER,3641,813.0899999999999,0.27399999999999997,30,Fast Moving,Restock Immediately
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,0.04,1,Slow Moving,Reduce Inventory
17084A,TRANQUILITY MASALA INCENSE,242,50.82,0.21,11,Normal,Monitor Stock
17084G,MOON INCENSE,50,10.5,0.21,2,Slow Moving,Reduce Inventory
17084J,LOVE POTION MASALA INCENSE,254,53.34,0.21,12,Normal,Monitor Stock
17084N,FAIRY DREAMS INCENSE ,1391,278.36,0.20722222222222222,36,Fast Moving,Restock Immediately
17084P,DRAGONS BLOOD INCENSE,575,110.75,0.20666666666666667,14,Normal,Monitor Stock
17084R,ASSORTED INCENSE PACK,8105,1453.65,0.2026829268292683,40,Fast Moving,Restock Immediately
17090A,LAVENDER INCENSE 40 CONES IN TIN,106,113.3,1.2055555555555555,18,Normal,Monitor Stock
17090D,VANILLA INCENSE 40 CONES IN TIN,66,77.7,1.2289473684210528,18,Slow Moving,Reduce Inventory
17091A,LAVENDER INCENSE IN TIN,1912,1169.24,0.9838636363636364,87,Fast Moving,Restock Immediately
17091B,JASMINE TEA INCENSE IN TIN,270,294.3,1.2233333333333332,43,Normal,Monitor Stock
17091F,SANDALWOOD INCENSE IN TIN,16,20.0,1.25,6,Slow Moving,Reduce Inventory
17091J,VANILLA INCENSE IN TIN,1986,1336.98,0.9581250000000001,79,Fast Moving,Restock Immediately
17096,ASSORTED LAQUERED INCENSE HOLDERS,3643,638.3100000000001,0.19833333333333333,22,Fast Moving,Restock Immediately
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",156,397.8,2.55,39,Normal,Monitor Stock
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,149.1,0.42,23,Normal,Monitor Stock
17109A,FLOWER FAIRY INCENSE LILY,709,333.61,1.1861538461538461,13,Normal,Monitor Stock
17109B,FLOWER FAIRY INCENSE LAVENDER,4541,892.91,1.184375,16,Fast Moving,Restock Immediately
17109C,FLOWER FAIRY INCENSE ROSE,3124,661.23,1.238,15,Fast Moving,Restock Immediately
17109D,FLOWER FAIRY INCENSE BOUQUET,1195,557.59,1.3817647058823528,32,Fast Moving,Restock Immediately
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,85,57.129999999999995,0.8309090909090909,10,Slow Moving,Reduce Inventory
17129D,CLEAR COLOUR GLASS GEMS IN BAG,518,344.53999999999996,0.7615789473684211,19,Normal,Monitor Stock
17129F,BLUE GLASS GEMS IN BAG,197,127.13,0.71,6,Normal,Monitor Stock
17129F,DEEP BLUE GLASS GEMS IN BAG,316,208.12,0.7388235294117648,16,Normal,Monitor Stock
17136A,BLUE STONES ON WIRE FOR CANDLE,391,32.19,0.11058823529411764,17,Normal,Monitor Stock
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1567,626.1,0.41740740740740745,72,Fast Moving,Restock Immediately
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1147,445.74,0.4153125,27,Fast Moving,Restock Immediately
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,812,753.78,1.0304761904761905,56,Normal,Monitor Stock
17165D,ASS COL LARGE SAND FROG P'WEIGHT,696,661.32,1.0342857142857143,82,Normal,Monitor Stock
17174,ASSTD RASTA KEY-CHAINS,27,11.34,0.42,4,Slow Moving,Reduce Inventory
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,1.234,24,Normal,Monitor Stock
17181,CIRCLE OF FRIENDS CANDLE HOLDER,295,344.25,2.1661290322580644,28,Normal,Monitor Stock
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,29,108.75,3.75,10,Slow Moving,Reduce Inventory
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5505,638.1,0.1726315789473684,36,Fast Moving,Restock Immediately
18010,ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,0.42,6,Slow Moving,Reduce Inventory
18094C,WHITE AND BLUE CERAMIC OIL BURNER,191,214.75,1.1884615384615385,26,Normal,Monitor Stock
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,20,25.0,1.25,4,Slow Moving,Reduce Inventory
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,112,256.8,2.5071428571428567,13,Normal,Monitor Stock
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,14,35.699999999999996,2.55,9,Slow Moving,Reduce Inventory
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.849999999999998,2.55,3,Slow Moving,Reduce Inventory
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,915,1960.05,2.5123931623931623,113,Normal,Monitor Stock
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2.95,2,Slow Moving,Reduce Inventory
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,8.850000000000001,2.9500000000000006,3,Slow Moving,Reduce Inventory
18098C,PORCELAIN BUTTERFLY OIL BURNER,963,2389.65,2.889622641509434,146,Normal,Monitor Stock
20615,BLUE POLKADOT PASSPORT COVER,9,18.900000000000002,2.1,9,Slow Moving,Reduce Inventory
20615,BLUE SPOTTY PASSPORT COVER,222,341.2,2.067948717948718,38,Normal,Monitor Stock
20616,CHERRY BLOSSOM PASSPORT COVER,56,117.60000000000001,2.1,20,Slow Moving,Reduce Inventory
20617,FIRST CLASS PASSPORT COVER ,386,726.14,2.0829166666666667,48,Normal,Monitor Stock
20618,QUEEN OF THE SKIES PASSPORT COVER ,127,266.7,2.1,47,Normal,Monitor Stock
20619,TROPICAL PASSPORT COVER ,232,362.2,2.073404255319149,46,Normal,Monitor Stock
20620,RED SPOTTY PASSPORT COVER,1,2.1,2.1,1,Slow Moving,Reduce Inventory
20621,ECONOMY PASSPORT COVER ,200,420.0,2.1,29,Normal,Monitor Stock
20622,VIPPASSPORT COVER ,364,682.4,2.0921153846153846,50,Normal,Monitor Stock
20652,BLUE POLKADOT LUGGAGE TAG ,14,17.5,1.25,13,Slow Moving,Reduce Inventory
20652,BLUE SPOTTY LUGGAGE TAG ,1058,488.5,1.2071739130434782,44,Fast Moving,Restock Immediately
20653,CHERRY BLOSSOM LUGGAGE TAG,1894,385.22,1.1984000000000001,25,Fast Moving,Restock Immediately
20654,FIRST CLASS LUGGAGE TAG ,236,290.44,1.2438709677419355,61,Normal,Monitor Stock
20655,QUEEN OF SKIES LUGGAGE TAG,180,218.16,1.24109375,60,Normal,Monitor Stock
20657,TROPICAL LUGGAGE TAG,1633,460.25,1.194313725490196,50,Fast Moving,Restock Immediately
20658,RED RETROSPOT LUGGAGE TAG,155,193.75,1.25,43,Normal,Monitor Stock
20658,RED SPOTTY LUGGAGE TAG,882,1097.94,1.247121212121212,125,Normal,Monitor Stock
20659,ECONOMY LUGGAGE TAG,197,246.25,1.25,61,Normal,Monitor Stock
20660,VIP LUGGAGE TAG ,73,91.25,1.25,26,Slow Moving,Reduce Inventory
20661,BLUE POLKADOT PURSE ,346,186.70000000000002,2.6025,8,Normal,Monitor Stock
20661,BLUE SPOTTY PURSE ,434,446.30000000000007,2.863125,30,Normal,Monitor Stock
20662,FIRST CLASS HOLIDAY PURSE ,686,353.30000000000007,2.652,20,Normal,Monitor Stock
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1034,265.5,2.4533333333333336,12,Fast Moving,Restock Immediately
20664,TROPICAL HOLIDAY PURSE ,25,73.75,2.95,13,Slow Moving,Reduce Inventory
20665,RED RETROSPOT PURSE ,148,431.80000000000007,2.9375,31,Normal,Monitor Stock
20665,RED SPOTTY PURSE ,699,2054.8500000000004,2.943548387096774,123,Normal,Monitor Stock
20666,ECONOMY HOLIDAY PURSE,867,328.85,2.618888888888889,18,Normal,Monitor Stock
20667,CHERRY BLOSSOM PURSE,20,59.00000000000001,2.95,8,Slow Moving,Reduce Inventory
20668,DISCO BALL CHRISTMAS DECORATION,8782,991.24,0.11890410958904109,141,Fast Moving,Restock Immediately
20669,RED HEART LUGGAGE TAG,453,563.97,1.2480808080808081,93,Normal,Monitor Stock
20670,VIP HOLIDAY PURSE,656,267.20000000000005,2.6025,16,Normal,Monitor Stock
20671,BLUE TEATIME PRINT BOWL ,732,901.32,1.2482242990654207,106,Normal,Monitor Stock
20672,PINK TEATIME PRINT BOWL,116,145.0,1.25,22,Normal,Monitor Stock
20673,STRAWBERRIES PRINT BOWL,5,6.25,1.25,2,Slow Moving,Reduce Inventory
20674,GREEN POLKADOT BOWL,261,326.25,1.25,39,Normal,Monitor Stock
20674,GREEN SPOTTY BOWL,1509,1831.53,1.2457303370786517,176,Fast Moving,Restock Immediately
20675,BLUE POLKADOT BOWL,494,590.14,1.2436666666666667,58,Normal,Monitor Stock
20675,BLUE SPOTTY BOWL,2700,3197.16,1.2411969111969112,258,Fast Moving,Restock Immediately
20676,RED RETROSPOT BOWL,851,1009.03,1.2413636363636362,87,Normal,Monitor Stock
20676,RED SPOTTY BOWL,4384,5147.12,1.237406340057637,345,Fast Moving,Restock Immediately
20677,PINK POLKADOT BOWL,514,628.82,1.2470769230769232,65,Normal,Monitor Stock
20677,PINK SPOTTY BOWL,3342,3903.9,1.2381684981684982,266,Fast Moving,Restock Immediately
20679,EDWARDIAN PARASOL RED,4504,20084.8,5.733243243243244,368,Fast Moving,Restock Immediately
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,3.25,4,Slow Moving,Reduce Inventory
20681,PINK POLKADOT CHILDRENS UMBRELLA,246,793.5,3.242957746478873,71,Normal,Monitor Stock
20681,PINK SPOTTY CHILDS UMBRELLA,956,3014.0,3.2387640449438204,175,Normal,Monitor Stock
20682,RED RETROSPOT CHILDRENS UMBRELLA,367,1186.75,3.2445054945054945,89,Normal,Monitor Stock
20682,RED SPOTTY CHILDS UMBRELLA,1431,4467.75,3.233720930232558,213,Fast Moving,Restock Immediately
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,3.25,1,Slow Moving,Reduce Inventory
20684,STRAWBERRY DREAM CHILDS UMBRELLA,484,1534.0,3.2381889763779528,126,Normal,Monitor Stock
20685,DOOR MAT RED SPOT,2427,15100.97,7.177378378378378,369,Fast Moving,Restock Immediately
20685,DOORMAT RED RETROSPOT,1084,7734.6,7.675233644859813,214,Fast Moving,Restock Immediately
20685,DOORMAT RED SPOT,1035,7050.21,7.329893048128342,187,Fast Moving,Restock Immediately
20685,RED SPOTTY COIR DOORMAT,1098,6545.5,6.544242424242424,164,Fast Moving,Restock Immediately
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,316,1018.0,3.239795918367347,98,Normal,Monitor Stock
20688,BEAUTY SPEED EXPRESSO CUPS,462,306.9,4.45,9,Normal,Monitor Stock
20689,RETRO SISTERS EXPRESSO CUPS,401,441.95000000000005,5.610714285714286,27,Normal,Monitor Stock
20692,FLORAL ELEPHANT SOFT TOY,883,3451.25,4.179752066115703,116,Normal,Monitor Stock
20693,FLORAL DINOSAUR GREEN,26,110.5,4.25,12,Slow Moving,Reduce Inventory
20694,FLORAL PINK MONSTER,77,277.23,3.6825,15,Slow Moving,Reduce Inventory
20695,FLORAL BLUE MONSTER,78,315.0,4.163043478260869,23,Slow Moving,Reduce Inventory
20696,FLORAL SOFT CAR TOY,91,341.25,3.75,24,Slow Moving,Reduce Inventory
20697,LITTLE GREEN MONSTER SOFT TOY,22,50.699999999999996,2.4681818181818183,11,Slow Moving,Reduce Inventory
20698,LITTLE PINK MONSTER SOFT TOY,27,63.449999999999996,2.4681818181818183,11,Slow Moving,Reduce Inventory
20699,MOUSEY LONG LEGS SOFT TOY,181,450.75,2.5256756756756755,35,Normal,Monitor Stock
20700,GREEN CAT FLORAL CUSHION COVER ,278,382.5,2.8125,8,Normal,Monitor Stock
20701,PINK CAT FLORAL CUSHION COVER ,276,375.0,3.0,10,Normal,Monitor Stock
20702,PINK PADDED MOBILE,651,2723.25,4.233173076923077,199,Normal,Monitor Stock
20703,BLUE PADDED SOFT MOBILE,462,1951.0,4.235029940119761,164,Normal,Monitor Stock
20704,MR ROBOT SOFT TOY,134,574.5,6.126,25,Normal,Monitor Stock
20705,MRS ROBOT SOFT TOY,126,543.7,6.159523809523809,21,Normal,Monitor Stock
20707,CRAZY DAISY HEART DECORATION,1126,721.1,1.1700000000000002,33,Fast Moving,Restock Immediately
20711,JUMBO BAG TOYS ,7271,12843.35,1.9184562211981566,431,Fast Moving,Restock Immediately
20712,JUMBO BAG WOODLAND ANIMALS,7742,13992.9,1.9283295711060948,435,Fast Moving,Restock Immediately
20713,JUMBO BAG OWLS,9366,16745.7,1.9264925373134327,528,Fast Moving,Restock Immediately
20714,POSY SHOPPER BAG,1513,586.25,0.5975,12,Fast Moving,Restock Immediately
20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1.06,1,Normal,Monitor Stock
20716,PARTY FOOD SHOPPER BAG,1082,1337.3,1.2445714285714287,137,Fast Moving,Restock Immediately
20717,STRAWBERRY SHOPPER BAG,3335,3942.65,1.2425622775800713,275,Fast Moving,Restock Immediately
